Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70315,2,2,2,1,6,3,0,0,0,0,-1,21,1
200501BS70317,1,1,3,2,6,3,1,3,0,0,-1,0,-1
200501BS70318,1,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70319,1,1,1,1,5,3,0,0,0,0,-1,3,1
200501BS70319,2,2,1,1,5,3,0,0,0,0,-1,1,1
200501BS70321,1,1,3,2,7,3,5,1,0,0,-1,0,1
200501BS70322,1,1,1,1,5,3,0,0,0,0,-1,9,1
200501BS70322,1,2,2,1,-1,2,0,0,1,0,-1,9,1
200501BS70323,2,1,1,1,7,3,0,0,0,0,-1,1,1
200501BS70324,1,1,2,1,11,3,0,0,0,4,-1,11,1
200501BS70325,1,1,1,2,6,3,0,0,0,0,-1,9,1
200501BS70326,2,1,1,1,7,3,0,0,0,0,-1,1,1
200501BS70327,2,1,3,2,6,3,5,1,0,0,-1,0,1
200501BS70328,2,1,1,1,6,3,0,0,0,0,-1,9,1
200501BS70329,2,1,1,1,6,3,0,0,0,0,-1,5,1
200501BS70330,1,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70331,1,1,3,2,5,3,1,3,0,0,-1,0,1
200501BS70331,1,2,1,1,7,2,0,0,0,0,-1,5,1
200501BS70332,1,1,1,2,-1,3,0,0,0,0,-1,9,1
200501BS70333,1,1,1,1,6,3,0,0,0,0,-1,2,1
200501BS70334,2,1,1,2,6,3,0,0,0,0,-1,1,-1
200501BS70335,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70336,1,1,3,1,9,3,5,3,0,0,-1,0,1
200501BS70337,1,1,3,2,9,3,4,3,0,0,-1,0,1
200501BS70338,1,1,1,2,9,3,0,0,0,0,-1,1,1
200501BS70339,2,1,1,1,6,3,0,0,0,0,-1,4,1
200501BS70339,2,2,2,2,6,3,0,0,0,0,-1,4,1
200501BS70340,2,1,1,1,6,2,0,0,0,0,-1,5,1
200501BS70341,2,1,1,1,4,3,0,0,0,0,-1,1,-1
200501BS70342,1,1,2,1,-1,3,0,0,1,0,-1,9,1
200501BS70343,1,1,1,1,7,3,0,0,0,0,-1,1,1
200501BS70344,1,1,1,1,8,2,0,0,0,0,-1,9,-1
200501BS70346,2,1,1,1,6,3,0,0,0,0,-1,2,1
200501BS70347,2,1,1,1,5,3,0,0,0,0,-1,1,1
200501BS70348,2,1,1,2,5,3,0,0,0,0,-1,1,-1
200501BS70349,1,1,3,1,5,3,4,3,0,0,-1,0,1
